ccsd,,hf_gw,,lda_gw,,lda_gw_c,
-13.474195162635528,0.03163636363636363,-17.824753961634695,0.010545454545454525,-17.201000834028356,0.009454545454545438,-15.915696413678065,0.019272727272727247
-13.125204336947455,0.03563636363636363,-17.62298582151793,0.009818181818181781,-16.98071726438699,0.010545454545454525,-15.658748957464553,0.01999999999999999
-12.849608006672227,0.039636363636363636,-17.347823185988325,0.009090909090909066,-16.778782318598832,0.011636363636363611,-15.365070892410342,0.021090909090909077
-12.610809007506255,0.042545454545454525,-16.99929941618015,0.00799999999999998,-16.613544620517096,0.012727272727272726,-15.089808173477897,0.02145454545454545
-12.188523769808175,0.045454545454545414,-16.742485404503753,0.007272727272727264,-16.411576313594658,0.014181818181818157,-14.851209341117597,0.022181818181818164
-11.858048373644703,0.047636363636363616,-16.485671392827356,0.006545454545454549,-16.209507923269392,0.01672727272727273,-14.594261884904085,0.022909090909090907
-11.656113427856546,0.0487272727272727,-16.19212677231026,0.006181818181818177,-16.007472894078397,0.018909090909090903,-14.318965804837365,0.023636363636363622
-11.43606338615513,0.047272727272727244,-15.843569641367807,0.005454545454545434,-15.805371142618847,0.021818181818181792,-14.080333611342786,0.02472727272727271
-11.179516263552959,0.04363636363636364,-15.54999165971643,0.005454545454545434,-15.63993327773144,0.02509090909090908,-13.860016680567139,0.026181818181818167
-10.904720600500415,0.03890909090909089,-15.293110925771474,0.005454545454545434,-15.474462051709757,0.028727272727272685,-13.58462051709758,0.02799999999999997
-10.629858215179315,0.03490909090909089,-14.834361968306922,0.005818181818181778,-15.327306088407004,0.03272727272727269,-13.345888240200168,0.03018181818181817
-10.299649708090076,0.034181818181818174,-14.559132610508758,0.005818181818181778,-15.216847372810674,0.03672727272727269,-13.052010008340286,0.03345454545454543
-10.024353628023349,0.03490909090909089,-14.228824020016681,0.006181818181818177,-15.087939949958297,0.04181818181818181,-12.831526271893242,0.03672727272727269
-9.712226855713094,0.03709090909090906,-13.916864053377816,0.006545454545454549,-14.995829858215178,0.04581818181818181,-12.629391159299416,0.03999999999999998
-9.43676396997498,0.039636363636363636,-13.586555462885737,0.0069090909090908925,-14.903653044203502,0.05054545454545453,-12.445571309424519,0.04363636363636364
-9.124637197664722,0.04181818181818181,-13.274562135112593,0.007636363636363608,-14.829858215179316,0.05490909090909088,-12.261718098415344,0.047636363636363616
-8.886038365304419,0.042545454545454525,-12.944220183486237,0.008363636363636351,-14.756030025020848,0.0596363636363636,-12.059449541284405,0.05236363636363636
-8.665754795663052,0.04363636363636364,-12.613911592994164,0.008727272727272722,-14.682235195996663,0.06399999999999997,-11.875562969140947,0.05672727272727271
-8.371876563803166,0.04690909090909087,-12.283603002502087,0.009090909090909066,-14.626722268557131,0.06909090909090906,-11.70999165971643,0.06145454545454543
-8.169641367806506,0.05127272727272725,-11.971643035863217,0.009454545454545438,-14.552760633861553,0.07527272727272727,-11.52610508757298,0.0658181818181818
-8.00403669724771,0.056363636363636366,-11.622919099249373,0.010545454545454525,-14.515596330275228,0.08036363636363633,-11.342251876563804,0.06981818181818178
-7.893444537114259,0.0618181818181818,-11.329241034195164,0.011636363636363611,-14.460150125104253,0.0847272727272727,-11.121701417848207,0.07381818181818178
-7.782819015846538,0.0676363636363636,-11.01721434528774,0.012727272727272726,-14.40463719766472,0.0898181818181818,-10.956396997497915,0.07563636363636361
-7.635262718932442,0.07599999999999998,-10.705187656380314,0.013818181818181785,-14.367506255212676,0.09454545454545452,-10.681100917431191,0.07636363636363633
-7.46932443703086,0.0847272727272727,-10.393160967472895,0.0149090909090909,-14.330375312760632,0.09927272727272723,-10.461017514595493,0.07527272727272727
-7.2298915763135945,0.09454545454545452,-10.062718932443701,0.01672727272727273,-14.274895746455378,0.10399999999999997,-10.241100917431194,0.07236363636363632
-7.009074228523769,0.10145454545454542,-9.750558798999165,0.019272727272727247,-14.237731442869057,0.10909090909090907,-10.021217681401165,0.06909090909090906
-6.788056713928274,0.11054545454545453,-9.54852376980817,0.02145454545454545,-14.200600500417012,0.1138181818181818,-9.746321934945787,0.06545454545454543
-6.640433694745621,0.11963636363636361,-9.089140950792324,0.028727272727272685,-14.145087572977483,0.1189090909090909,-9.47139282735613,0.06218181818181817
-6.5294745621351105,0.12909090909090906,-8.886872393661385,0.03345454545454543,-14.107923269391158,0.12399999999999999,-9.25134278565471,0.06072727272727271
-6.436864053377814,0.13854545454545453,-8.721267723102585,0.03854545454545452,-14.052443703085904,0.1287272727272727,-8.9394495412844,0.06036363636363634
-6.344286905754792,0.14763636363636362,-8.53721434528774,0.0447272727272727,-14.01534612176814,0.13309090909090907,-8.664053377814845,0.06218181818181817
-6.251309424520436,0.16109090909090906,-8.389958298582151,0.04981818181818182,-13.959799833194328,0.13854545454545453,-8.40693911592994,0.06472727272727272
-6.195496246872395,0.16945454545454544,-8.242668890742287,0.05527272727272725,-13.904353628023353,0.14290909090909087,-8.204804003336111,0.06799999999999998
-6.139716430358632,0.17745454545454542,-8.113761467889905,0.06036363636363634,-13.812210175145955,0.14727272727272725,-8.00256880733945,0.07236363636363632
-6.083969974979148,0.18509090909090906,-8.003169307756465,0.0658181818181818,-13.720400333611343,0.14799999999999996,-7.855412844036696,0.07636363636363633
-6.028223519599667,0.1927272727272727,-7.910959132610511,0.0709090909090909,-13.592226855713095,0.14509090909090905,-7.7266388657214335,0.07999999999999999
-5.95416180150125,0.19999999999999998,-7.708023352793994,0.08290909090909088,-13.555896580483736,0.14109090909090907,-7.5977648040033365,0.0847272727272727
-5.917064220183484,0.20436363636363633,-7.634061718098412,0.08909090909090905,-13.501251042535444,0.1367272727272727,-7.487272727272725,0.08909090909090905
-5.861651376146792,0.20836363636363633,-7.560133444537112,0.09490909090909089,-13.464920767306086,0.1327272727272727,-7.358331943286071,0.09454545454545452
-5.787989991659714,0.21127272727272725,-7.5045871559633,0.10036363636363635,-13.410341951626354,0.1276363636363636,-7.247739783152625,0.09999999999999998
-5.696513761467891,0.20836363636363633,-7.448940783986657,0.1069090909090909,-13.355729774812342,0.1229090909090909,-7.155562969140949,0.1047272727272727
-5.641868223519598,0.204,-7.374879065888241,0.11418181818181816,-13.319499582985824,0.1178181818181818,-7.06331943286072,0.11018181818181816
-5.587256046705583,0.19927272727272724,-7.3007506255212675,0.12218181818181816,-13.283236030025023,0.11309090909090906,-6.971042535446205,0.11599999999999998
-5.551125938281903,0.19309090909090906,-7.245037531276061,0.12945454545454543,-13.228657214345287,0.10799999999999997,-6.8971809841534615,0.12109090909090907
-5.49691409507923,0.18399999999999997,-7.189257714762302,0.13745454545454544,-13.192360300250208,0.10363636363636362,-6.804937447873225,0.12654545454545452
-5.424620517097583,0.172,-7.1150291909924945,0.14654545454545453,-13.137814845704753,0.09818181818181818,-6.7126271893244365,0.1327272727272727
-5.370442035029189,0.16254545454545452,-7.059382819015848,0.15309090909090906,-13.101551292743952,0.09345454545454546,-6.620383653044204,0.13818181818181816
-5.316296914095076,0.1527272727272727,-7.00370308590492,0.15999999999999998,-13.046972477064223,0.08836363636363634,-6.546488740617178,0.14363636363636362
-5.262085070892411,0.14363636363636362,-6.929674728940782,0.1669090909090909,-13.010708924103419,0.08363636363636362,-6.454278565471224,0.1487272727272727
-5.135145954962468,0.12727272727272726,-6.87419516263553,0.17163636363636361,-12.95606338615513,0.07927272727272727,-6.3803836530442055,0.15418181818181814
-5.081067556296915,0.11672727272727271,-6.818782318598835,0.17563636363636362,-12.901484570475397,0.07418181818181815,-6.233094245204338,0.15963636363636363
-5.00854045037531,0.10727272727272724,-6.745154295246035,0.17818181818181816,-12.82855713094245,0.06909090909090906,-6.067556296914091,0.16399999999999998
-4.91769808173478,0.09745454545454543,-6.653377814845705,0.1785454545454545,-12.792260216847371,0.06472727272727272,-5.884270225187656,0.1618181818181818
-4.845204336947454,0.08763636363636362,-6.543586321934946,0.17527272727272725,-12.700984153461217,0.0596363636363636,-5.7562635529607995,0.15709090909090906
-4.754295246038364,0.0785454545454545,-6.470625521267724,0.17054545454545453,-12.627989991659717,0.05527272727272725,-5.683169307756465,0.1538181818181818
-4.663185988323601,0.07163636363636361,-6.416046705587988,0.16545454545454544,-12.53671392827356,0.05018181818181816,-5.6285571309424505,0.14909090909090905
-4.590258548790661,0.06654545454545455,-6.361434528773977,0.16072727272727272,-12.427089241034196,0.04509090909090907,-5.555596330275229,0.14436363636363633
-4.517331109257711,0.06145454545454543,-6.2887739783152625,0.1527272727272727,-12.31743119266055,0.04036363636363635,-5.501050875729774,0.13890909090909087
-4.444503753127609,0.05527272727272725,-6.216080066722267,0.14509090909090905,-12.171042535446205,0.035999999999999976,-5.428256880733947,0.13236363636363635
-4.35319432860717,0.05054545454545453,-6.14328607172644,0.13854545454545453,-12.042969140950792,0.03199999999999997,-5.373744787322767,0.12654545454545452
-4.26185154295246,0.04618181818181816,-6.0888073394495414,0.13236363636363635,-11.859816513761466,0.02836363636363634,-5.319199332777313,0.12109090909090907
-3.9875896580483747,0.03563636363636363,-6.034295246038365,0.12654545454545452,-11.694912427022519,0.025818181818181796,-5.246271893244373,0.11599999999999998
-3.8412010008340296,0.03127272727272726,-5.961534612176813,0.11963636363636361,-11.474962468723938,0.02327272727272725,-5.191759799833196,0.11018181818181816
-3.4749624687239375,0.02327272727272725,-5.888807339449542,0.11236363636363633,-11.236630525437864,0.021090909090909077,-5.13718098415346,0.10509090909090907
-3.2367306088406984,0.01999999999999999,-5.8161467889908245,0.10436363636363635,-10.979883236030027,0.01963636363636362,-5.082668890742287,0.09927272727272723
-2.870125104253546,0.015999999999999986,-5.743386155129276,0.09745454545454543,-10.778115095913261,0.018909090909090903,-5.009774812343618,0.0938181818181818
-2.595129274395326,0.013454545454545441,-5.670592160133445,0.09090909090909088,-10.539616346955796,0.01854545454545453,-4.955229357798164,0.08836363636363634
-2.3200667222685567,0.011636363636363611,-5.579616346955795,0.0825454545454545,-10.319432860717264,0.01854545454545453,-4.8823352793994985,0.08290909090909088
-2.063319432860716,0.010181818181818153,-5.488607172643871,0.07454545454545453,-10.154261884904088,0.018909090909090903,-4.827756463719766,0.07781818181818179
,,-5.39753127606339,0.06727272727272726,-9.934011676396999,0.01963636363636362,-4.700050041701417,0.06981818181818178
,,-5.288106755629691,0.05999999999999997,-9.69534612176814,0.021090909090909077,-4.62718932443703,0.06399999999999997
,,-5.160366972477064,0.05236363636363636,-9.456613844870727,0.02327272727272725,-4.535946622185154,0.05854545454545454
,,-5.032527105921599,0.04581818181818181,-9.199466221851544,0.026181818181818167,-4.426321934945786,0.05345454545454542
,,-4.868023352793994,0.03890909090909089,-8.960633861551294,0.029454545454545455,-4.3350458715596325,0.04836363636363636
,,-4.703419516263551,0.03309090909090906,-8.776880733944953,0.032363636363636344,-4.188657214345284,0.043999999999999984
,,-4.447139282735616,0.02654545454545451,-8.574745621351124,0.03563636363636363,-4.042402001668055,0.03818181818181818
,,-4.154061718098415,0.021090909090909077,-8.335813177648038,0.03999999999999998,-3.8959799833194317,0.034181818181818174
,,-3.769174311926605,0.01636363636363633,-8.188690575479566,0.04363636363636364,-3.731209341117598,0.03018181818181817
,,-3.3841868223519604,0.012727272727272726,-8.023219349457882,0.047272727272727244,-3.493110925771475,0.025454545454545452
,,-2.9440533778148428,0.010181818181818153,-7.894445371142616,0.050909090909090876,-3.3098915763135963,0.022545454545454507
,,-2.5772477064220176,0.008363636363636351,-7.747222685571309,0.055636363636363595,-3.0532777314428685,0.01963636363636362
,,-2.247072560467057,0.007272727272727264,-7.636763969974979,0.0596363636363636,-2.814979149291073,0.017090909090909073
,,-2.0453044203502913,0.006545454545454549,-7.526238532110092,0.06436363636363635,-2.5582652210175176,0.015272727272727271
,,,,-7.434061718098416,0.06909090909090906,-2.3565638031693084,0.013818181818181785
,,,,-7.34188490408674,0.07381818181818178,-2.1364804003336104,0.012727272727272726
,,,,-7.249608006672226,0.07963636363636362,,
,,,,-7.157364470391993,0.08509090909090908,,
,,,,-7.101984987489576,0.08872727272727271,,
,,,,-7.028156797331107,0.09345454545454546,,
,,,,-6.954328607172645,0.09818181818181818,,
,,,,-6.862085070892409,0.10363636363636362,,
,,,,-6.788290241868221,0.10799999999999997,,
,,,,-6.714462051709759,0.1127272727272727,,
,,,,-6.677364470391993,0.11709090909090906,,
,,,,-6.603502919099245,0.12218181818181816,,
,,,,-6.529674728940783,0.12690909090909086,,
,,,,-6.474195162635532,0.1316363636363636,,
,,,,-6.418748957464555,0.13599999999999995,,
,,,,-6.344820683903251,0.1418181818181818,,
,,,,-6.270925771476225,0.14727272727272725,,
,,,,-6.197130942452045,0.15163636363636362,,
,,,,-6.14165137614679,0.15636363636363634,,
,,,,-6.067856547122599,0.16072727272727272,,
,,,,-5.957397831526272,0.16472727272727272,,
,,,,-5.847139282735611,0.16654545454545452,,
,,,,-5.718832360300254,0.16509090909090907,,
,,,,-5.627422852376981,0.16145454545454543,,
,,,,-5.5360800667222705,0.15709090909090906,,
,,,,-5.46315262718932,0.15199999999999997,,
,,,,-5.390191826522102,0.14727272727272725,,
,,,,-5.335579649708091,0.14254545454545453,,
,,,,-5.280967472894076,0.13781818181818178,,
,,,,-5.244637197664723,0.13381818181818178,,
,,,,-5.190025020850708,0.12909090909090906,,
,,,,-5.135412844036697,0.12436363636363634,,
,,,,-5.080767306088408,0.11999999999999998,,
,,,,-5.0262218515429495,0.11454545454545452,,
,,,,-4.989924937447871,0.11018181818181816,,
,,,,-4.953694745621348,0.10509090909090907,,
,,,,-4.899049207673059,0.1007272727272727,,
,,,,-4.844503753127604,0.09527272727272723,,
,,,,-4.789891576313597,0.09054545454545451,,
,,,,-4.73531276063386,0.08545454545454545,,
,,,,-4.680667222685571,0.08109090909090907,,
,,,,-4.6077064220183495,0.07636363636363633,,
,,,,-4.553094245204335,0.07163636363636361,,
,,,,-4.4801668056713915,0.06654545454545455,,
,,,,-4.3888573811509595,0.0618181818181818,,
,,,,-4.297547956630524,0.05709090909090908,,
,,,,-4.206238532110092,0.05236363636363636,,
,,,,-4.096547122602168,0.04799999999999999,,
,,,,-3.9868890742285252,0.04327272727272724,,
,,,,-3.858849040867387,0.03890909090909089,,
,,,,-3.7491242702251846,0.03490909090909089,,
,,,,-3.5843202668890726,0.03127272727272726,,
,,,,-3.4195496246872388,0.027272727272727254,,
,,,,-3.2180150125104205,0.023999999999999966,,
,,,,-2.943152627189324,0.01999999999999999,,
,,,,-2.7232026688907425,0.017454545454545445,,
,,,,-2.484904086738947,0.0149090909090909,,
,,,,-2.2648874061718054,0.01309090909090907,,
,,,,-2.0448040033361146,0.011999999999999983,,
